,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
1419, Get Out,2017,7.8,78.0,85.0,702K
1420, The Lego Batman Movie,2017,7.3,73.0,75.0,173K
1421, The Boss Baby,2017,6.3,63.0,50.0,142K
1422, The Greatest Showman,2017,7.5,75.0,48.0,313K
1423, Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,65.0,39.0,348K
1424, Kong: Skull Island,2017,6.7,67.0,62.0,350K
1425, Cars 3,2017,6.7,67.0,59.0,123K
1426, War for the Planet of the Apes,2017,7.4,74.0,82.0,295K
1427, Wonder,2017,7.9,79.0,66.0,179K
1428, Transformers: The Last Knight,2017,5.2,52.0,27.0,170K
1429, Girls Trip,2017,6.2,62.0,71.0,41K
1430,Black Panther,2018,7.3,73.0,88.0,840K
1431,Avengers: Infinity War,2018,8.4,84.0,68.0,1.2M
1432,Incredibles 2,2018,7.5,75.0,80.0,333K
1433,Jurassic World: Fallen Kingdom,2018,6.1,61.0,51.0,346K
1434,Aquaman,2018,6.8,68.0,55.0,522K
1435,Deadpool 2,2018,7.6,76.0,66.0,650K
1436,The Grinch,2018,6.4,64.0,51.0,91K
1437,Mission: Impossible - Fallout,2018,7.7,77.0,87.0,380K
1438,Ant-Man and the Wasp,2018,7.0,70.0,70.0,452K
1439, Bohemian Rhapsody,2018,7.9,79.0,49.0,596K
1440, A Star Is Born,2018,7.6,76.0,88.0,421K
1441, Solo: A Star Wars Story,2018,6.9,69.0,62.0,381K
1442, Venom,2018,6.6,66.0,35.0,541K
1443, Ralph Breaks the Internet,2018,7.0,70.0,71.0,184K
1444, Spider-Man: Into the Spider-Verse,2018,8.4,84.0,87.0,676K
1445, A Quiet Place,2018,7.5,75.0,82.0,587K
1446, Crazy Rich Asians,2018,6.9,69.0,74.0,191K
1447, Mary Poppins Returns,2018,6.7,67.0,66.0,95K
1448, Hotel Transylvania 3: Summer Vacation,2018,6.3,63.0,54.0,86K
1449, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,65.0,52.0,310K
1450, Halloween,2018,6.5,65.0,67.0,170K
1451, The Meg,2018,5.7,57.0,46.0,208K
1452, Ocean's Eight,2018,6.3,63.0,61.0,243K
1453, Ready Player One,2018,7.4,74.0,64.0,489K
1454, Bumblebee,2018,6.7,67.0,66.0,190K
1455,Avengers: Endgame,2019,8.4,84.0,78.0,1.3M
1456,The Lion King,2019,6.8,68.0,55.0,268K
1457,Star Wars: Episode IX - The Rise of Skywalker,2019,6.4,64.0,53.0,496K
1458,Frozen II,2019,6.8,68.0,64.0,196K
1459,Toy Story 4,2019,7.7,77.0,84.0,282K
1460,Captain Marvel,2019,6.8,68.0,64.0,613K
1461,Spider-Man: Far from Home,2019,7.4,74.0,69.0,560K
1462,Aladdin,2019,6.9,69.0,53.0,291K
1463,Joker,2019,8.4,84.0,59.0,1.5M
1464, Jumanji: The Next Level,2019,6.7,67.0,58.0,285K
1465, It Chapter Two,2019,6.5,65.0,58.0,304K
1466, Us,2019,6.8,68.0,81.0,343K
1467, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,65.0,60.0,237K
1468, John Wick: Chapter 3 - Parabellum,2019,7.4,74.0,73.0,428K
1469, Knives Out,2019,7.9,79.0,82.0,778K
1470, How to Train Your Dragon: The Hidden World,2019,7.4,74.0,71.0,151K
1471, 1917,2019,8.2,82.0,78.0,680K
1472, The Secret Life of Pets 2,2019,6.4,64.0,55.0,69K
1473, Pokémon: Detective Pikachu,2019,6.5,65.0,53.0,183K
1474, Once Upon a Time... in Hollywood,2019,7.6,76.0,84.0,854K
1475, Shazam!,2019,7.0,70.0,71.0,386K
1476, Ford v Ferrari,2019,8.1,81.0,81.0,480K
1477, Dumbo,2019,6.3,63.0,51.0,83K
1478, Maleficent: Mistress of Evil,2019,6.6,66.0,43.0,119K
1479, Glass,2019,6.6,66.0,43.0,276K
1480,Bad Boys for Life,2020,6.5,65.0,59.0,176K
1481,A Quiet Place Part II,2020,7.2,72.0,71.0,275K
1482,Sonic the Hedgehog,2020,6.5,65.0,47.0,161K
1483,Birds of Prey,2020,6.1,61.0,60.0,266K
1484,Dolittle,2020,5.6,56.0,26.0,72K
1485,The Invisible Man,2020,7.1,71.0,72.0,257K
1486,The Call of the Wild,2020,6.7,67.0,48.0,57K
1487,Onward,2020,7.4,74.0,61.0,171K
1488,The Croods: A New Age,2020,6.9,69.0,56.0,53K
1489, Tenet,2020,7.3,73.0,69.0,596K
1490, Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,82.0,72.0,74K
1491, Wonder Woman 1984,2020,5.4,54.0,60.0,293K
1492, Fantasy Island,2020,4.9,49.0,22.0,58K
1493, The New Mutants,2020,5.3,53.0,43.0,90K
1494, Unhinged,2020,6.0,60.0,40.0,77K
1495, Underwater,2020,5.9,59.0,48.0,98K
1496, Gretel & Hansel,2020,5.5,55.0,64.0,34K
1497, Monster Hunter,2020,5.2,52.0,47.0,68K
1498, Honest Thief,2020,6.0,60.0,46.0,58K
1499, The Way Back,2020,6.7,67.0,66.0,53K
1500, Bloodshot,2020,5.7,57.0,44.0,85K
1501, The Courier,2020,7.2,72.0,65.0,74K
1502, The Hunt,2020,6.6,66.0,50.0,130K
1503, The Rhythm Section,2020,5.4,54.0,45.0,20K
1504,Spider-Man: No Way Home,2021,8.2,82.0,71.0,885K
1505,Shang-Chi and the Legend of the Ten Rings,2021,7.4,74.0,71.0,438K
1506,Venom: Let There Be Carnage,2021,5.9,59.0,49.0,260K
1507,Black Widow,2021,6.7,67.0,68.0,428K
1508,F9: The Fast Saga,2021,5.2,52.0,58.0,163K
1509,Eternals,2021,6.3,63.0,52.0,388K
1510,Sing 2,2021,7.3,73.0,49.0,88K
1511,No Time to Die,2021,7.3,73.0,68.0,447K
1512,Ghostbusters: Afterlife,2021,7.0,70.0,45.0,221K
1513, Free Guy,2021,7.1,71.0,62.0,429K
1514, Jungle Cruise,2021,6.6,66.0,50.0,213K
1515, Dune,2021,8.0,80.0,74.0,872K
1516, Godzilla vs. Kong,2021,6.3,63.0,59.0,244K
1517, Encanto,2021,7.2,72.0,75.0,264K
1518, Halloween Kills,2021,5.5,55.0,42.0,99K
1519, The Black Phone,2021,6.9,69.0,65.0,198K
1520, Cruella,2021,7.3,73.0,59.0,267K
1521, Space Jam: A New Legacy,2021,4.5,45.0,36.0,81K
1522, The Conjuring: The Devil Made Me Do It,2021,6.3,63.0,53.0,140K
1523, Candyman,2021,5.9,59.0,72.0,76K
1524, The Boss Baby 2: Family Business,2021,5.9,59.0,39.0,23K
1525, The Addams Family 2,2021,5.4,54.0,37.0,16K
1526, The Suicide Squad,2021,7.2,72.0,72.0,412K
1527, Raya and the Last Dragon,2021,7.3,73.0,74.0,173K
1528, House of Gucci,2021,6.6,66.0,59.0,161K
1529,Top Gun: Maverick,2022,8.2,82.0,78.0,705K
1530,Avatar: The Way of Water,2022,7.5,75.0,67.0,498K
1531,Black Panther: Wakanda Forever,2022,6.7,67.0,67.0,308K
1532,Doctor Strange in the Multiverse of Madness,2022,6.9,69.0,60.0,482K
1533,Jurassic World Dominion,2022,5.6,56.0,38.0,207K
1534,Minions: The Rise of Gru,2022,6.5,65.0,56.0,87K
1535,The Batman,2022,7.8,78.0,72.0,793K
1536,Thor: Love and Thunder,2022,6.2,62.0,57.0,404K
1537,Sonic the Hedgehog 2,2022,6.5,65.0,47.0,88K
1538, Puss in Boots: The Last Wish,2022,7.8,78.0,73.0,178K
1539, Black Adam,2022,6.2,62.0,41.0,276K
1540, Elvis,2022,7.3,73.0,64.0,236K
1541, Uncharted,2022,6.3,63.0,45.0,262K
1542, Nope,2022,6.8,68.0,77.0,270K
1543, Lightyear,2022,6.1,61.0,60.0,124K
1544, The Lost City,2022,6.1,61.0,60.0,160K
1545, Bullet Train,2022,7.3,73.0,49.0,440K
1546, The Bad Guys,2022,6.8,68.0,64.0,60K
1547, Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,62.0,47.0,172K
1548, M3GAN,2022,6.3,63.0,72.0,144K
1549, DC League of Super-Pets,2022,7.1,71.0,56.0,76K
1550, Where the Crawdads Sing,2022,7.2,72.0,43.0,127K
1551, Scream,2022,6.3,63.0,60.0,160K
1552, Morbius,2022,5.1,51.0,35.0,154K
1553, Everything Everywhere All at Once,2022,7.8,78.0,81.0,538K
