,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
209,From Russia with Love,1963,7.3,73.0,83.0,146K
210,The Sword in the Stone,1963,7.1,71.0,61.0,107K
211,Charade,1963,7.8,78.0,83.0,86K
212,The Great Escape,1963,8.2,82.0,86.0,260K
213, The Thrill of It All,1963,6.9,69.0,58.0,5.9K
214, The Birds,1963,7.6,76.0,90.0,205K
215, The Pink Panther,1963,7.0,70.0,55.0,57K
216, The V.I.P.s,1963,6.3,63.0,51.0,4.2K
217, Hud,1963,7.8,78.0,62.0,24K
218, Jason and the Argonauts,1963,7.3,73.0,69.0,31K
219, King Kong vs. Godzilla,1963,5.7,57.0,40.0,11K
220, The Haunting,1963,7.4,74.0,74.0,43K
221,Mary Poppins,1964,7.8,78.0,88.0,187K
222,My Fair Lady,1964,7.7,77.0,95.0,102K
223,Goldfinger,1964,7.7,77.0,87.0,203K
224,A Fistful of Dollars,1964,7.9,79.0,65.0,234K
225,A Hard Day's Night,1964,7.5,75.0,96.0,48K
226, A Shot in the Dark,1964,7.3,73.0,70.0,31K
227, Seven Days in May,1964,7.8,78.0,73.0,17K
228, The Train,1964,7.8,78.0,80.0,19K
229, Roustabout,1964,6.0,60.0,50.0,3.3K
230, Marnie,1964,7.1,71.0,73.0,54K
231, Bedtime Story,1964,6.7,67.0,54.0,2.4K
232, Viva Las Vegas,1964,6.3,63.0,69.0,9.3K
233," Kiss Me, Stupid",1964,6.9,69.0,63.0,8.6K
234,The Sound of Music,1965,8.1,81.0,63.0,262K
235,Doctor Zhivago,1965,7.9,79.0,69.0,82K
236,Thunderball,1965,6.9,69.0,64.0,127K
237,That Darn Cat!,1965,6.7,67.0,71.0,7.9K
238,The Great Race,1965,7.2,72.0,71.0,20K
239,Cat Ballou,1965,6.7,67.0,60.0,16K
240, The Cincinnati Kid,1965,7.2,72.0,67.0,18K
241, For a Few Dollars More,1965,8.2,82.0,74.0,276K
242, The Sons of Katie Elder,1965,7.1,71.0,72.0,19K
243, Help!,1965,7.1,71.0,58.0,21K
244, Girl Happy,1965,6.3,63.0,65.0,3K
245,A Man for All Seasons,1966,7.7,77.0,72.0,37K
246,The Russians Are Coming the Russians Are Coming,1966,7.0,70.0,69.0,10K
247,Grand Prix,1966,7.2,72.0,72.0,11K
248,The Professionals,1966,7.3,73.0,75.0,19K
249,Alfie,1966,7.0,70.0,70.0,16K
250," The Good, the Bad and the Ugly",1966,8.8,88.0,90.0,814K
251, Masculine Feminine,1966,7.4,74.0,93.0,17K
252,The Jungle Book,1967,7.6,76.0,65.0,199K
253,The Graduate,1967,8.0,80.0,83.0,289K
254,Guess Who's Coming to Dinner,1967,7.8,78.0,63.0,49K
255,The Dirty Dozen,1967,7.7,77.0,73.0,79K
256,Valley of the Dolls,1967,6.0,60.0,49.0,9.8K
257,You Only Live Twice,1967,6.8,68.0,61.0,118K
258,"To Sir, with Love",1967,7.6,76.0,55.0,20K
259,Camelot,1967,6.5,65.0,70.0,7.5K
260, In the Heat of the Night,1967,7.9,79.0,76.0,84K
261, Barefoot in the Park,1967,7.0,70.0,55.0,21K
262, Wait Until Dark,1967,7.7,77.0,81.0,34K
263, Cool Hand Luke,1967,8.1,81.0,92.0,189K
264, Doctor Dolittle,1967,6.1,61.0,34.0,10K
265, Two for the Road,1967,7.4,74.0,78.0,15K
266,Funny Girl,1968,7.4,74.0,88.0,25K
267,2001: A Space Odyssey,1968,8.3,83.0,84.0,722K
268,The Odd Couple,1968,7.6,76.0,86.0,38K
269,Bullitt,1968,7.4,74.0,81.0,76K
270,Romeo and Juliet,1968,7.6,76.0,69.0,35K
271,Planet of the Apes,1968,8.0,80.0,79.0,197K
272, Oliver!,1968,7.4,74.0,74.0,42K
273, Charly,1968,6.9,69.0,50.0,7.3K
274, Finian's Rainbow,1968,6.1,61.0,59.0,4.2K
275, Blackbeard's Ghost,1968,6.8,68.0,71.0,6.8K
276, Chitty Chitty Bang Bang,1968,6.9,69.0,64.0,51K
277, Vixen!,1968,5.6,56.0,74.0,3.1K
278, Once Upon a Time in the West,1968,8.5,85.0,82.0,350K
279,Butch Cassidy and the Sundance Kid,1969,8.0,80.0,66.0,227K
280,Midnight Cowboy,1969,7.8,78.0,79.0,121K
281,Easy Rider,1969,7.2,72.0,85.0,117K
282,Bob & Carol & Ted & Alice,1969,6.7,67.0,72.0,7.3K
283,Paint Your Wagon,1969,6.6,66.0,50.0,15K
284,True Grit,1969,7.4,74.0,83.0,52K
285,Cactus Flower,1969,7.2,72.0,67.0,12K
286,On Her Majesty's Secret Service,1969,6.7,67.0,61.0,100K
287, The Reivers,1969,6.6,66.0,66.0,3.3K
288, Winning,1969,6.0,60.0,70.0,2.2K
289, The Sterile Cuckoo,1969,6.7,67.0,68.0,2.4K
290," They Shoot Horses, Don't They?",1969,7.8,78.0,72.0,21K
291, The Wild Bunch,1969,7.9,79.0,98.0,91K
292, Marooned,1969,5.9,59.0,62.0,5.9K
293," Hello, Dolly!",1969,7.0,70.0,51.0,17K
294,Love Story,1970,6.9,69.0,84.0,38K
295,Airport,1970,6.6,66.0,42.0,22K
296,M*A*S*H,1970,7.4,74.0,80.0,77K
297,Patton,1970,7.9,79.0,86.0,108K
298,Woodstock,1970,8.1,81.0,95.0,19K
299,The Aristocats,1970,7.1,71.0,66.0,115K
300,Little Big Man,1970,7.5,75.0,63.0,38K
301,Tora! Tora! Tora!,1970,7.5,75.0,46.0,37K
302, Catch-22,1970,7.1,71.0,70.0,27K
303, Five Easy Pieces,1970,7.4,74.0,85.0,41K
304, Beneath the Planet of the Apes,1970,6.0,60.0,46.0,53K
305, Two Mules for Sister Sara,1970,7.0,70.0,62.0,31K
306, Rio Lobo,1970,6.7,67.0,55.0,14K
307, The Boys in the Band,1970,7.6,76.0,65.0,5.9K
308,Billy Jack,1971,6.2,62.0,50.0,6.6K
309,Fiddler on the Roof,1971,8.0,80.0,67.0,48K
310,Diamonds Are Forever,1971,6.5,65.0,59.0,114K
311,Dirty Harry,1971,7.7,77.0,87.0,169K
312,The Last Picture Show,1971,8.0,80.0,93.0,53K
313,Carnal Knowledge,1971,6.9,69.0,77.0,15K
314,The Hospital,1971,7.1,71.0,72.0,7.4K
315,Willard,1971,6.2,62.0,49.0,5.5K
316,Bedknobs and Broomsticks,1971,7.0,70.0,59.0,41K
317, Klute,1971,7.1,71.0,81.0,30K
318, Shaft,1971,6.6,66.0,66.0,21K
319, Big Jake,1971,7.1,71.0,57.0,15K
320, The French Connection,1971,7.7,77.0,94.0,136K
321, Sweet Sweetback's Baadasssss Song,1971,5.5,55.0,71.0,5.9K
322, Escape from the Planet of the Apes,1971,6.3,63.0,69.0,40K
323, Play Misty for Me,1971,6.9,69.0,78.0,32K
324, Bananas,1971,6.9,69.0,67.0,38K
325, The Million Dollar Duck,1971,5.8,58.0,45.0,2.7K
326, The Anderson Tapes,1971,6.4,64.0,61.0,8.9K
327, The Omega Man,1971,6.4,64.0,56.0,34K
328, McCabe & Mrs. Miller,1971,7.6,76.0,93.0,28K
329, Summer of '42,1971,7.2,72.0,59.0,9.2K
330,The Godfather,1972,9.2,92.0,100.0,2M
331,The Poseidon Adventure,1972,7.1,71.0,70.0,49K
332,Jeremiah Johnson,1972,7.6,76.0,75.0,35K
333,Cabaret,1972,7.8,78.0,80.0,60K
334,The Getaway,1972,7.3,73.0,55.0,36K
335,Last Tango in Paris,1972,6.9,69.0,77.0,59K
336,Fritz the Cat,1972,6.2,62.0,54.0,14K
337, The Life and Times of Judge Roy Bean,1972,6.8,68.0,57.0,9.4K
338, The Cowboys,1972,7.4,74.0,52.0,16K
339, Frenzy,1972,7.4,74.0,92.0,50K
340, The Heartbreak Kid,1972,7.0,70.0,74.0,5.7K
341," What's Up, Doc?",1972,7.7,77.0,73.0,27K
342, Conquest of the Planet of the Apes,1972,6.1,61.0,49.0,37K
343, The Mechanic,1972,6.8,68.0,51.0,16K
344, Deliverance,1972,7.7,77.0,80.0,120K
345, The Way of the Dragon,1972,7.2,72.0,58.0,41K
